Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_QuickFilterButton,Chrome 71.0.3578.98,,2019-02-05 02:06:13,2019-02-05 02:08:20,2m - 6.455s,PASSED
,,,,,,
Test Cases/BasicSearch/2.2/Quick_filter_button,Chrome 71.0.3578.98,,2019-02-05 02:06:15,2019-02-05 02:08:20,2m - 4.435s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:06:16,2019-02-05 02:06:58,41.206s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:06:58,2019-02-05 02:07:00,2.399s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:07:00,2019-02-05 02:08:00,1m - 0.067s,PASSED
"click(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""))",Chrome 71.0.3578.98,,2019-02-05 02:08:00,2019-02-05 02:08:02,2.265s,PASSED
"setText(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), ""Bebek"")",Chrome 71.0.3578.98,,2019-02-05 02:08:02,2019-02-05 02:08:07,4.282s,PASSED
"sendKeys(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:08:07,2019-02-05 02:08:09,2.619s,PASSED
waitForJQueryLoad(3),Chrome 71.0.3578.98,,2019-02-05 02:08:09,2019-02-05 02:08:11,1.545s,PASSED
"click(findTestObject(""2.2/Page_categories/span_Lifestyle""))",Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:11,0.006s,NOT_RUN
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:11,0.001s,NOT_RUN
"click(findTestObject(""2.2/Page_categories/span_SPBU""))",Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:15,4.534s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:08:15,2019-02-05 02:08:15,0.003s,NOT_RUN
"click(findTestObject(""2.2/Page_categories/span_Malls""))",Chrome 71.0.3578.98,,2019-02-05 02:08:15,2019-02-05 02:08:15,0.002s,NOT_RUN
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:08:15,2019-02-05 02:08:15,0.002s,NOT_RUN
"click(findTestObject(""2.2/Page_categories/span_Airport""))",Chrome 71.0.3578.98,,2019-02-05 02:08:15,2019-02-05 02:08:15,0.001s,NOT_RUN
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:08:15,2019-02-05 02:08:19,4.122s,PASSED
