Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SearchResultPage,Chrome 71.0.3578.98,,2019-02-05 02:11:44,2019-02-05 02:12:10,26.281s,PASSED
,,,,,,
Test Cases/BasicSearch/2.1/Search_result_page,Chrome 71.0.3578.98,,2019-02-05 02:11:44,2019-02-05 02:12:10,25.821s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:11:45,2019-02-05 02:11:51,6.189s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:11:51,2019-02-05 02:11:53,2.173s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:11:53,2019-02-05 02:11:58,4.604s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""))",Chrome 71.0.3578.98,,2019-02-05 02:11:58,2019-02-05 02:12:00,2.196s,PASSED
"setText(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""), ""Bebek"")",Chrome 71.0.3578.98,,2019-02-05 02:12:00,2019-02-05 02:12:04,4.223s,PASSED
"sendKeys(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:12:04,2019-02-05 02:12:06,2.108s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:12:06,2019-02-05 02:12:08,2.042s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:12:08,2019-02-05 02:12:10,1.660s,PASSED
