Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SeeAllFromGroupingCategories,Chrome 71.0.3578.98,,2019-02-05 02:06:24,2019-02-05 02:08:20,1m - 56.497s,PASSED
,,,,,,
Test Cases/BasicSearch/2.3/See_all_from_grouping_categories,Chrome 71.0.3578.98,,2019-02-05 02:06:24,2019-02-05 02:08:20,1m - 55.550s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:06:27,2019-02-05 02:06:58,31.001s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:06:58,2019-02-05 02:07:00,2.365s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:07:00,2019-02-05 02:07:52,52.416s,PASSED
"click(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""))",Chrome 71.0.3578.98,,2019-02-05 02:07:52,2019-02-05 02:07:58,5.654s,PASSED
"setText(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), ""Bebek"")",Chrome 71.0.3578.98,,2019-02-05 02:07:58,2019-02-05 02:08:05,7.471s,PASSED
"sendKeys(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:08:05,2019-02-05 02:08:09,3.514s,PASSED
waitForJQueryLoad(2),Chrome 71.0.3578.98,,2019-02-05 02:08:09,2019-02-05 02:08:11,1.757s,PASSED
"click(findTestObject(""2.3/Page_ADX Asia/span_All""))",Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:13,2.618s,PASSED
"click(findTestObject(""2.3/Page_ADX Asia/button_See all""))",Chrome 71.0.3578.98,,2019-02-05 02:08:13,2019-02-05 02:08:16,2.460s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-02-05 02:08:16,2019-02-05 02:08:17,1.048s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:08:17,2019-02-05 02:08:20,3.071s,PASSED
