Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_ValidatingEmptyResult,Chrome 71.0.3578.98,,2019-02-05 02:13:45,2019-02-05 02:14:23,37.850s,PASSED
,,,,,,
Test Cases/BasicSearch/3.1/Validating_empty_result_on_search,Chrome 71.0.3578.98,,2019-02-05 02:13:47,2019-02-05 02:14:23,36.413s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:13:48,2019-02-05 02:13:57,9.419s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:13:57,2019-02-05 02:13:59,2.186s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:13:59,2019-02-05 02:14:10,10.369s,PASSED
"click(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""))",Chrome 71.0.3578.98,,2019-02-05 02:14:10,2019-02-05 02:14:12,2.349s,PASSED
"setText(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), ""Lawless"")",Chrome 71.0.3578.98,,2019-02-05 02:14:12,2019-02-05 02:14:17,5.141s,PASSED
"sendKeys(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:14:17,2019-02-05 02:14:20,2.272s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:14:20,2019-02-05 02:14:22,2.057s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:14:22,2019-02-05 02:14:23,1.654s,PASSED
